questionno,question
1,"E-Learning facility e.g. NPTEL, Spoken Tutorials"
2,"Availability and accessibility of Digital Library (IEEE, ACM, Springer etc.)"
3,Canteen/Cafeteria facilities
4,Availability of prescribed books/reading materials & reading room and common room
5,Availability of reading room and common room
6,Infrastructural facilities
7,Student's attendance monitoring
8,Protection against ragging
9,Approachability of the faculty
10,Bank Facility in Campus
11,Internet Facility
12,Placement activities
13,Well equipped Gymkhana facility
