Questionno,Questions
1,Is the teacher innovative and enthusiastic about teaching the subject?
2,Does the teacher discuss engineering applications and concepts of the subject?
3,Is the lecture well planned and organized?
4,Is the teacher’s communication and speed of delivery good?
5,Is the lecture interactive?
6,Is the teacher regular in conducting classes?
7,Is the discipline of the class maintained?
8,How is the presentation of the teacher with different teaching aids?
9,"Does the teacher recommends additional learning resources?(NPTEL, Swayam, digital library etc)"
10,Does the teacher supports in clearing doubts and provides assistance/help?
